skill-name,skill-name-ch,common-in-era,need-specify?,is-multiple?,initial,description
accounting,会计,,FALSE,FALSE,5,使调查员理解会计工作的流程，通过检查账簿，调查员可以了解过去的资金的得与失，以及这些资金流通的渠道。也能发现做假账的员工，对资金的偷偷挪用，对行贿或者敲诈的款项支付，以及经济状况是否比表面陈述更好或者更差。
anthropology,人类学,,FALSE,FALSE,1,使调查员能够通过观察来辨识和理解一个人的生活方式。如果持续观察一个其他的文化一段时间，那么他可以对文化方式以及道德习惯进行简单的预测。结合心理学可以预测目标行为和信仰。
appraise,估价,,FALSE,FALSE,5,用来估计某种物品的价值，包括质量，使用的材料以及工艺。相关的，调查员可以准确地辨认出物品的年龄，评估它的历史关联性以及发现赝品。
archaeology,考古学,,FALSE,FALSE,1,允许辨别以及检定一件古董，以及用来发现赝品。使调查员获得建立以及开掘一个挖掘遗址的专业知识。推断留下遗址的生物的目的和生活方式。人类学可能对此会有帮助。考古学还有助于辨认已经消失的人类语言的书面形式。
art-and-craft,技艺,,TRUE,TRUE,5,该技能可能能使你制作/修理一样东西，或者制造一个复制品/赝品。
charm,魅惑,,FALSE,FALSE,15,魅惑允许通过许多形式来使用，包括肉体魅力、诱惑、奉承或是单纯的人格魅力。魅惑可能可以被用于迫使默认进行特定的行动。魅惑或是心理学技能可以用于对抗魅惑技能。魅惑技能可以被用于讨价还价。
climb,攀爬,,FALSE,FALSE,20,这技能允许一命角色借助或不借助绳索或登山工具进行爬树、墙以及其他垂直表面。这技能同样也包括用绳索下降，许多因素将会影响难度等级。
computer-use,计算机使用,现代,FALSE,FALSE,5,这技能允许调查员用各种不同的电脑语言进行编程。恢复或者分析隐藏的数据。解除被加了保护的系统。探索一个复杂的网络，或者发现别人的骇入、后门程序、病毒。对电脑系统的特殊操作可能会需要这个检定
credit-rating,信用评级,,FALSE,FALSE,0,衡量了调查员表现出来的富裕程度以及经济上的自信程度。如果调查员尝试用他的经济地位来达成某个目标，那么也许使用信用评级技能会比较合适。信用评级可以被用来取代app来评估第一印象。
cthulhu-mythos,克苏鲁神话,,FALSE,FALSE,0,“我认为，人的思维缺乏将已知事物联系起来的能力，这是世界上最仁慈的事来。人类居住在幽暗的海洋中一个名为无知的小岛上，这海洋浩淼无垠，蕴藏无穷秘密，但我们不应该航行过远，探究过深”——H.P.爱手艺
